time,method,number of record,elapsed time
2021/08/08 17:21:13,GET,350000,2
2021/08/08 17:36:38,GET,400000,2
2021/08/08 17:51:55,GET,450000,3
2021/08/08 18:07:08,GET,500000,2
2021/08/08 18:22:24,GET,550000,3
2021/08/08 18:37:33,GET,600000,2
2021/08/08 18:52:47,GET,650000,2
2021/08/08 19:07:58,GET,700000,2
2021/08/08 19:23:10,GET,750000,2
2021/08/08 19:38:25,GET,800000,2
2021/08/08 19:53:42,GET,850000,3
2021/08/08 20:08:54,GET,900000,2
2021/08/08 20:24:09,GET,950000,3
2021/08/08 20:39:22,GET,1000000,2
2021/08/08 20:54:38,GET,1050000,1
2021/08/08 21:09:57,GET,1100000,1
2021/08/08 21:25:13,GET,1150000,3
2021/08/08 21:40:27,GET,1200000,1
2021/08/08 21:55:42,GET,1250000,2
2021/08/08 22:10:59,GET,1300000,2
2021/08/08 22:26:17,GET,1350000,2
2021/08/08 22:41:33,GET,1400000,2
2021/08/08 22:56:53,GET,1450000,3
2021/08/08 23:12:11,GET,1500000,1
2021/08/08 23:27:25,GET,1550000,3
2021/08/08 23:42:41,GET,1600000,2
2021/08/08 23:57:58,GET,1650000,2
2021/08/09 00:13:18,GET,1700000,2
2021/08/09 00:28:34,GET,1750000,2
2021/08/09 00:43:44,GET,1800000,2
2021/08/09 00:59:31,GET,1850000,2
2021/08/09 01:14:54,GET,1900000,1
2021/08/09 01:30:16,GET,1950000,2
