time,method,number of record,elapsed time
2021/08/08 17:14:56,POST,330000,18
2021/08/08 17:18:04,POST,340000,32
2021/08/08 17:21:13,POST,350000,15
2021/08/08 17:24:19,POST,360000,17
2021/08/08 17:27:24,POST,370000,15
2021/08/08 17:30:30,POST,380000,16
2021/08/08 17:33:36,POST,390000,15
2021/08/08 17:36:38,POST,400000,13
2021/08/08 17:39:40,POST,410000,16
2021/08/08 17:42:44,POST,420000,15
2021/08/08 17:45:46,POST,430000,15
2021/08/08 17:48:51,POST,440000,15
2021/08/08 17:51:55,POST,450000,15
2021/08/08 17:54:55,POST,460000,16
2021/08/08 17:57:58,POST,470000,17
2021/08/08 18:01:02,POST,480000,14
2021/08/08 18:04:03,POST,490000,16
2021/08/08 18:07:08,POST,500000,29
2021/08/08 18:10:11,POST,510000,17
2021/08/08 18:13:15,POST,520000,16
2021/08/08 18:16:16,POST,530000,16
2021/08/08 18:19:20,POST,540000,18
2021/08/08 18:22:24,POST,550000,16
2021/08/08 18:25:25,POST,560000,12
2021/08/08 18:28:28,POST,570000,15
2021/08/08 18:31:30,POST,580000,15
2021/08/08 18:34:33,POST,590000,17
2021/08/08 18:37:33,POST,600000,17
2021/08/08 18:40:36,POST,610000,14
2021/08/08 18:43:36,POST,620000,16
2021/08/08 18:46:41,POST,630000,18
2021/08/08 18:49:44,POST,640000,17
2021/08/08 18:52:47,POST,650000,15
2021/08/08 18:55:48,POST,660000,18
2021/08/08 18:58:49,POST,670000,15
2021/08/08 19:01:51,POST,680000,15
2021/08/08 19:04:56,POST,690000,15
2021/08/08 19:07:58,POST,700000,16
2021/08/08 19:11:02,POST,710000,17
2021/08/08 19:14:02,POST,720000,16
2021/08/08 19:17:06,POST,730000,14
2021/08/08 19:20:08,POST,740000,14
2021/08/08 19:23:10,POST,750000,16
2021/08/08 19:26:10,POST,760000,19
2021/08/08 19:29:14,POST,770000,16
2021/08/08 19:32:16,POST,780000,16
2021/08/08 19:35:20,POST,790000,17
2021/08/08 19:38:25,POST,800000,29
2021/08/08 19:41:26,POST,810000,15
2021/08/08 19:44:30,POST,820000,13
2021/08/08 19:47:32,POST,830000,15
2021/08/08 19:50:37,POST,840000,13
2021/08/08 19:53:42,POST,850000,14
2021/08/08 19:56:43,POST,860000,17
2021/08/08 19:59:47,POST,870000,16
2021/08/08 20:02:50,POST,880000,17
2021/08/08 20:05:53,POST,890000,16
2021/08/08 20:08:54,POST,900000,16
2021/08/08 20:11:58,POST,910000,17
2021/08/08 20:15:02,POST,920000,13
2021/08/08 20:18:04,POST,930000,16
2021/08/08 20:21:07,POST,940000,16
2021/08/08 20:24:09,POST,950000,16
2021/08/08 20:27:12,POST,960000,15
2021/08/08 20:30:14,POST,970000,17
2021/08/08 20:33:18,POST,980000,15
2021/08/08 20:36:19,POST,990000,20
2021/08/08 20:39:22,POST,1000000,19
2021/08/08 20:42:26,POST,1010000,17
2021/08/08 20:45:28,POST,1020000,16
2021/08/08 20:48:32,POST,1030000,15
2021/08/08 20:51:33,POST,1040000,16
2021/08/08 20:54:38,POST,1050000,15
2021/08/08 20:57:40,POST,1060000,15
2021/08/08 21:00:43,POST,1070000,16
2021/08/08 21:03:48,POST,1080000,16
2021/08/08 21:06:51,POST,1090000,14
2021/08/08 21:09:57,POST,1100000,15
2021/08/08 21:13:01,POST,1110000,16
2021/08/08 21:16:02,POST,1120000,16
2021/08/08 21:19:08,POST,1130000,16
2021/08/08 21:22:09,POST,1140000,15
2021/08/08 21:25:13,POST,1150000,14
2021/08/08 21:28:15,POST,1160000,15
2021/08/08 21:31:17,POST,1170000,18
2021/08/08 21:34:22,POST,1180000,16
2021/08/08 21:37:26,POST,1190000,16
2021/08/08 21:40:27,POST,1200000,16
2021/08/08 21:43:32,POST,1210000,16
2021/08/08 21:46:32,POST,1220000,14
2021/08/08 21:49:37,POST,1230000,14
2021/08/08 21:52:40,POST,1240000,15
2021/08/08 21:55:42,POST,1250000,16
2021/08/08 21:58:47,POST,1260000,16
2021/08/08 22:01:49,POST,1270000,14
2021/08/08 22:04:53,POST,1280000,16
2021/08/08 22:07:57,POST,1290000,15
2021/08/08 22:10:59,POST,1300000,15
2021/08/08 22:14:02,POST,1310000,13
2021/08/08 22:17:03,POST,1320000,16
2021/08/08 22:20:10,POST,1330000,15
2021/08/08 22:23:13,POST,1340000,16
2021/08/08 22:26:17,POST,1350000,15
2021/08/08 22:29:20,POST,1360000,16
2021/08/08 22:32:23,POST,1370000,17
2021/08/08 22:35:27,POST,1380000,15
2021/08/08 22:38:28,POST,1390000,15
2021/08/08 22:41:33,POST,1400000,16
2021/08/08 22:44:36,POST,1410000,19
2021/08/08 22:47:44,POST,1420000,15
2021/08/08 22:50:45,POST,1430000,16
2021/08/08 22:53:49,POST,1440000,15
2021/08/08 22:56:53,POST,1450000,15
2021/08/08 22:59:53,POST,1460000,17
2021/08/08 23:02:59,POST,1470000,14
2021/08/08 23:06:01,POST,1480000,16
