time,method,number of record,elapsed time
2021/8/8 13:10,POST,0,592
2021/8/8 13:10,POST,1000,18
2021/8/8 13:11,POST,2000,14
2021/8/8 13:11,POST,3000,19
2021/8/8 13:12,POST,4000,17
2021/8/8 13:12,POST,5000,18
2021/8/8 13:13,POST,6000,17
2021/8/8 13:13,POST,7000,16
2021/8/8 13:14,POST,8000,17
2021/8/8 13:14,POST,9000,15
2021/8/8 13:15,POST,10000,15
2021/8/8 13:15,POST,11000,17
2021/8/8 13:16,POST,12000,19
2021/8/8 13:16,POST,13000,16
2021/8/8 13:17,POST,14000,23
2021/8/8 13:17,POST,15000,18
2021/8/8 13:18,POST,16000,19
2021/8/8 13:18,POST,17000,20
2021/8/8 13:19,POST,18000,18
2021/8/8 13:19,POST,19000,17
2021/8/8 13:19,POST,20000,19
2021/8/8 13:20,POST,21000,15
2021/8/8 13:21,POST,22000,19
2021/8/8 13:21,POST,23000,18
2021/8/8 13:22,POST,24000,18
2021/8/8 13:22,POST,25000,15
2021/8/8 13:23,POST,26000,16
2021/8/8 13:23,POST,27000,31
2021/8/8 13:24,POST,28000,23
2021/8/8 13:24,POST,29000,20
2021/8/8 13:24,POST,30000,16
2021/8/8 13:25,POST,31000,22
2021/8/8 13:25,POST,32000,23
2021/8/8 13:26,POST,33000,26
2021/8/8 13:27,POST,34000,18
2021/8/8 13:27,POST,35000,33
2021/8/8 13:28,POST,36000,20
2021/8/8 13:28,POST,37000,23
2021/8/8 13:29,POST,38000,18
2021/8/8 13:29,POST,39000,24
2021/8/8 13:30,POST,40000,24
2021/8/8 13:30,POST,41000,24
2021/8/8 13:31,POST,42000,21
2021/8/8 13:31,POST,43000,20
2021/8/8 13:32,POST,44000,22
2021/8/8 13:32,POST,45000,20
2021/8/8 13:33,POST,46000,23
2021/8/8 13:33,POST,47000,19
2021/8/8 13:34,POST,48000,20
2021/8/8 13:34,POST,49000,20
2021/8/8 13:35,POST,50000,24
2021/8/8 13:35,POST,51000,23
2021/8/8 13:36,POST,52000,17
2021/8/8 13:37,POST,53000,35
2021/8/8 13:37,POST,54000,22
2021/8/8 13:37,POST,55000,21
2021/8/8 13:38,POST,56000,25
2021/8/8 13:39,POST,57000,20
2021/8/8 13:39,POST,58000,20
2021/8/8 13:39,POST,59000,21
2021/8/8 13:40,POST,60000,20
2021/8/8 13:41,POST,61000,22
2021/8/8 15:00,POST,62000,21
2021/8/8 15:01,POST,63000,17
2021/8/8 15:01,POST,64000,16
2021/8/8 15:02,POST,65000,17
2021/8/8 15:02,POST,66000,21
2021/8/8 15:02,POST,67000,17
2021/8/8 15:03,POST,68000,17
2021/8/8 15:03,POST,69000,19
2021/8/8 15:03,POST,70000,19
2021/8/8 15:04,POST,71000,18
2021/8/8 15:04,POST,72000,20
2021/8/8 15:04,POST,73000,18
2021/8/8 15:05,POST,74000,16
2021/8/8 15:05,POST,75000,18
2021/8/8 15:05,POST,76000,19
2021/8/8 15:06,POST,77000,15
2021/8/8 15:06,POST,78000,16
2021/8/8 15:07,POST,79000,19
2021/8/8 15:07,POST,80000,15
2021/8/8 15:07,POST,81000,16
2021/8/8 15:08,POST,82000,17
2021/8/8 15:08,POST,83000,19
2021/8/8 15:08,POST,84000,18
2021/8/8 15:09,POST,85000,17
2021/8/8 15:09,POST,86000,16
2021/8/8 15:09,POST,87000,21
2021/8/8 15:10,POST,88000,17
2021/8/8 15:10,POST,89000,15
2021/8/8 15:10,POST,90000,18
2021/8/8 15:11,POST,91000,18
2021/8/8 15:11,POST,92000,25
2021/8/8 15:12,POST,93000,18
2021/8/8 15:12,POST,94000,17
2021/8/8 15:12,POST,95000,17
2021/8/8 15:13,POST,96000,23
2021/8/8 15:13,POST,97000,19
2021/8/8 15:13,POST,98000,22
2021/8/8 15:14,POST,99000,19
2021/8/8 15:14,POST,100000,34
2021/8/8 15:14,POST,101000,16
2021/8/8 15:15,POST,102000,20
2021/8/8 15:15,POST,103000,18
2021/8/8 15:15,POST,104000,18
2021/8/8 15:16,POST,105000,17
2021/8/8 15:16,POST,106000,44
2021/8/8 15:16,POST,107000,20
2021/8/8 15:17,POST,108000,19
2021/8/8 15:17,POST,109000,16
2021/8/8 15:17,POST,110000,17
2021/8/8 15:18,POST,111000,17
2021/8/8 15:18,POST,112000,17
2021/8/8 15:18,POST,113000,15
2021/8/8 15:19,POST,114000,19
2021/8/8 15:19,POST,115000,16
2021/8/8 15:19,POST,116000,25
2021/8/8 15:20,POST,117000,16
2021/8/8 15:20,POST,118000,18
2021/8/8 15:20,POST,119000,19
2021/8/8 15:21,POST,120000,18
2021/8/8 15:21,POST,121000,16
2021/8/8 15:21,POST,122000,17
2021/8/8 15:22,POST,123000,20
2021/8/8 15:22,POST,124000,16
2021/8/8 15:23,POST,125000,19
2021/8/8 15:23,POST,126000,17
2021/8/8 15:23,POST,127000,16
2021/8/8 15:24,POST,128000,16
2021/8/8 15:24,POST,129000,24
2021/8/8 15:24,POST,130000,19
2021/8/8 15:25,POST,131000,24
2021/8/8 15:25,POST,132000,15
2021/8/8 15:25,POST,133000,28
2021/8/8 15:26,POST,134000,17
2021/8/8 15:26,POST,135000,17
2021/8/8 15:27,POST,136000,16
2021/8/8 15:27,POST,137000,21
2021/8/8 15:27,POST,138000,22
2021/8/8 15:28,POST,139000,19
2021/8/8 15:28,POST,140000,15
2021/8/8 15:28,POST,141000,18
2021/8/8 15:29,POST,142000,18
2021/8/8 15:29,POST,143000,18
2021/8/8 15:29,POST,144000,20
2021/8/8 15:30,POST,145000,16
2021/8/8 15:30,POST,146000,17
2021/8/8 15:30,POST,147000,16
2021/8/8 15:31,POST,148000,17
2021/8/8 15:31,POST,149000,22
2021/8/8 15:31,POST,150000,19
2021/8/8 15:32,POST,151000,16
2021/8/8 15:32,POST,152000,19
2021/8/8 15:32,POST,153000,16
2021/8/8 15:33,POST,154000,17
2021/8/8 15:33,POST,155000,19
2021/8/8 15:33,POST,156000,17
2021/8/8 15:34,POST,157000,20
2021/8/8 15:34,POST,158000,19
2021/8/8 15:34,POST,159000,16
2021/8/8 15:35,POST,160000,17
2021/8/8 15:35,POST,161000,18
2021/8/8 15:35,POST,162000,17
2021/8/8 15:36,POST,163000,18
2021/8/8 15:36,POST,164000,19
2021/8/8 15:36,POST,165000,17
2021/8/8 15:37,POST,166000,15
2021/8/8 15:37,POST,167000,16
2021/8/8 15:37,POST,168000,18
2021/8/8 15:38,POST,169000,17
2021/8/8 15:38,POST,170000,22
2021/8/8 15:38,POST,171000,18
2021/8/8 15:39,POST,172000,17
2021/8/8 15:39,POST,173000,17
2021/8/8 15:39,POST,174000,23
2021/8/8 15:40,POST,175000,19
2021/8/8 15:40,POST,176000,20
2021/8/8 15:41,POST,177000,19
2021/8/8 15:41,POST,178000,19
2021/8/8 15:41,POST,179000,17
2021/8/8 15:42,POST,180000,15
2021/8/8 15:42,POST,181000,17
2021/8/8 15:42,POST,182000,16
2021/8/8 15:43,POST,183000,20
2021/8/8 15:43,POST,184000,16
2021/8/8 15:43,POST,185000,17
2021/8/8 15:44,POST,186000,20
2021/8/8 15:44,POST,187000,15
2021/8/8 15:44,POST,188000,18
2021/8/8 15:45,POST,189000,17
2021/8/8 15:45,POST,190000,16
2021/8/8 15:45,POST,191000,16
2021/8/8 15:46,POST,192000,17
2021/8/8 15:46,POST,193000,18
2021/8/8 15:46,POST,194000,15
2021/8/8 15:47,POST,195000,18
2021/8/8 15:47,POST,196000,19
2021/8/8 15:47,POST,197000,17
2021/8/8 15:48,POST,198000,19
2021/8/8 15:48,POST,199000,17
2021/8/8 15:48,POST,200000,21
2021/8/8 15:49,POST,201000,18
2021/8/8 15:49,POST,202000,17
2021/8/8 15:49,POST,203000,16
2021/8/8 15:50,POST,204000,17
2021/8/8 15:50,POST,205000,18
2021/8/8 15:50,POST,206000,16
2021/8/8 15:51,POST,207000,18
2021/8/8 15:51,POST,208000,18
2021/8/8 15:52,POST,209000,16
2021/8/8 15:52,POST,210000,18
2021/8/8 15:52,POST,211000,21
2021/8/8 15:53,POST,212000,15
2021/8/8 15:53,POST,213000,17
2021/8/8 15:53,POST,214000,17
2021/8/8 15:54,POST,215000,18
2021/8/8 15:54,POST,216000,16
2021/8/8 15:54,POST,217000,16
2021/8/8 15:55,POST,218000,17
2021/8/8 15:55,POST,219000,21
2021/8/8 15:55,POST,220000,23
2021/8/8 15:56,POST,221000,20
2021/8/8 15:56,POST,222000,20
2021/8/8 15:57,POST,223000,19
2021/8/8 15:57,POST,224000,15
2021/8/8 15:57,POST,225000,21
2021/8/8 15:58,POST,226000,19
2021/8/8 15:58,POST,227000,17
2021/8/8 15:58,POST,228000,19
2021/8/8 15:59,POST,229000,19
2021/8/8 15:59,POST,230000,19
2021/8/8 15:59,POST,231000,18
2021/8/8 16:00,POST,232000,16
2021/8/8 16:00,POST,233000,17
2021/8/8 16:00,POST,234000,18
2021/8/8 16:01,POST,235000,20
2021/8/8 16:01,POST,236000,19
2021/8/8 16:02,POST,237000,20
2021/8/8 16:02,POST,238000,17
2021/8/8 16:02,POST,239000,16
2021/8/8 16:03,POST,240000,17
2021/8/8 16:03,POST,241000,30
2021/8/8 16:03,POST,242000,16
2021/8/8 16:04,POST,243000,18
2021/8/8 16:04,POST,244000,17
2021/8/8 16:04,POST,245000,15
2021/8/8 16:05,POST,246000,18
2021/8/8 16:05,POST,247000,30
2021/8/8 16:05,POST,248000,16
2021/8/8 16:06,POST,249000,16
2021/8/8 16:06,POST,250000,19
2021/8/8 16:07,POST,251000,18
2021/8/8 16:07,POST,252000,16
2021/8/8 16:07,POST,253000,17
2021/8/8 16:08,POST,254000,20
2021/8/8 16:08,POST,255000,15
2021/8/8 16:08,POST,256000,18
2021/8/8 16:09,POST,257000,19
2021/8/8 16:09,POST,258000,17
2021/8/8 16:09,POST,259000,20
2021/8/8 16:10,POST,260000,15
2021/8/8 16:10,POST,261000,18
2021/8/8 16:10,POST,262000,18
2021/8/8 16:11,POST,263000,16
2021/8/8 16:11,POST,264000,15
2021/8/8 16:11,POST,265000,16
2021/8/8 16:12,POST,266000,14
2021/8/8 16:12,POST,267000,18
2021/8/8 16:12,POST,268000,62
2021/8/8 16:13,POST,269000,16
2021/8/8 16:13,POST,270000,17
2021/8/8 16:13,POST,271000,16
2021/8/8 16:14,POST,272000,16
2021/8/8 16:14,POST,273000,16
2021/8/8 16:14,POST,274000,16
2021/8/8 16:15,POST,275000,15
2021/8/8 16:15,POST,276000,18
2021/8/8 16:15,POST,277000,17
2021/8/8 16:16,POST,278000,17
2021/8/8 16:16,POST,279000,20
2021/8/8 16:16,POST,280000,17
2021/8/8 17:15,POST,281000,20
2021/8/8 17:15,POST,282000,15
2021/8/8 17:15,POST,283000,15
2021/8/8 17:16,POST,284000,28
2021/8/8 17:16,POST,285000,15
2021/8/8 17:16,POST,286000,15
2021/8/8 17:17,POST,287000,14
2021/8/8 17:17,POST,288000,17
2021/8/8 17:17,POST,289000,15
2021/8/8 17:18,POST,290000,32
2021/8/8 17:18,POST,291000,15
2021/8/8 17:18,POST,292000,15
2021/8/8 17:19,POST,293000,16
2021/8/8 17:19,POST,294000,17
2021/8/8 17:19,POST,295000,18
2021/8/8 17:20,POST,296000,14
2021/8/8 17:20,POST,297000,14
2021/8/8 17:20,POST,298000,16
2021/8/8 17:20,POST,299000,16
2021/8/8 17:21,POST,300000,15
2021/8/8 17:21,POST,301000,14
2021/8/8 17:21,POST,302000,15
2021/8/8 17:22,POST,303000,15
2021/8/8 17:22,POST,304000,16
2021/8/8 17:22,POST,305000,16
2021/8/8 17:23,POST,306000,18
2021/8/8 17:23,POST,307000,15
2021/8/8 17:23,POST,308000,17
2021/8/8 17:24,POST,309000,15
2021/8/8 17:24,POST,310000,17
2021/8/8 17:24,POST,311000,15
2021/8/8 17:24,POST,312000,15
2021/8/8 17:25,POST,313000,15
2021/8/8 17:25,POST,314000,13
2021/8/8 17:25,POST,315000,20
2021/8/8 17:26,POST,316000,16
2021/8/8 17:26,POST,317000,18
2021/8/8 17:26,POST,318000,17
2021/8/8 17:27,POST,319000,16
2021/8/8 17:27,POST,320000,15
2021/8/8 17:27,POST,321000,15
2021/8/8 17:28,POST,322000,15
2021/8/8 17:28,POST,323000,15
2021/8/8 17:28,POST,324000,17
2021/8/8 17:28,POST,325000,27
2021/8/8 17:13,POST,326000,21
2021/8/8 17:13,POST,327000,17
2021/8/8 17:14,POST,328000,28
2021/8/8 17:14,POST,329000,16
2021/8/8 17:14,POST,330000,18
2021/8/8 17:15,POST,331000,20
2021/8/8 17:15,POST,332000,15
2021/8/8 17:15,POST,333000,15
2021/8/8 17:16,POST,334000,28
2021/8/8 17:16,POST,335000,15
2021/8/8 17:16,POST,336000,15
2021/8/8 17:17,POST,337000,14
2021/8/8 17:17,POST,338000,17
2021/8/8 17:17,POST,339000,15
2021/8/8 17:18,POST,340000,32
2021/8/8 17:18,POST,341000,15
2021/8/8 17:18,POST,342000,15
2021/8/8 17:19,POST,343000,16
2021/8/8 17:19,POST,344000,17
2021/8/8 17:19,POST,345000,18
2021/8/8 17:20,POST,346000,14
2021/8/8 17:20,POST,347000,14
2021/8/8 17:20,POST,348000,16
2021/8/8 17:20,POST,349000,16
2021/8/8 17:21,POST,350000,15
2021/8/8 17:21,POST,351000,14
2021/8/8 17:21,POST,352000,15
2021/8/8 17:22,POST,353000,15
2021/8/8 17:22,POST,354000,16
2021/8/8 17:22,POST,355000,16
2021/8/8 17:23,POST,356000,18
2021/8/8 17:23,POST,357000,15
2021/8/8 17:23,POST,358000,17
2021/8/8 17:24,POST,359000,15
2021/8/8 17:24,POST,360000,17
2021/8/8 17:24,POST,361000,15
2021/8/8 17:24,POST,362000,15
2021/8/8 17:25,POST,363000,15
2021/8/8 17:25,POST,364000,13
2021/8/8 17:25,POST,365000,20
2021/8/8 17:26,POST,366000,16
2021/8/8 17:26,POST,367000,18
2021/8/8 17:26,POST,368000,17
2021/8/8 17:27,POST,369000,16
2021/8/8 17:27,POST,370000,15
2021/8/8 17:27,POST,371000,15
2021/8/8 17:28,POST,372000,15
2021/8/8 17:28,POST,373000,15
2021/8/8 17:28,POST,374000,17
2021/8/8 17:28,POST,375000,27
2021/8/8 17:29,POST,376000,17
2021/8/8 17:29,POST,377000,15
2021/8/8 17:29,POST,378000,15
2021/8/8 17:30,POST,379000,15
2021/8/8 17:30,POST,380000,16
2021/8/8 17:30,POST,381000,15
2021/8/8 17:31,POST,382000,15
2021/8/8 17:31,POST,383000,16
2021/8/8 17:31,POST,384000,15
2021/8/8 17:32,POST,385000,15
2021/8/8 17:32,POST,386000,16
2021/8/8 17:32,POST,387000,17
2021/8/8 17:32,POST,388000,16
2021/8/8 17:33,POST,389000,14
2021/8/8 17:33,POST,390000,15
2021/8/8 17:33,POST,391000,17
2021/8/8 17:34,POST,392000,16
