time,method,number of record,elapsed time
2021/08/08 17:36:38,GET,400000,2
2021/08/08 18:07:08,GET,500000,2
2021/08/08 18:37:33,GET,600000,2
2021/08/08 19:07:58,GET,700000,2
2021/08/08 19:38:25,GET,800000,2
2021/08/08 20:08:54,GET,900000,2
2021/08/08 20:39:22,GET,1000000,2
2021/08/08 21:09:57,GET,1100000,1
2021/08/08 21:40:27,GET,1200000,1
2021/08/08 22:10:59,GET,1300000,2
2021/08/08 22:41:33,GET,1400000,2
2021/08/08 23:12:11,GET,1500000,1
2021/08/08 23:42:41,GET,1600000,2
2021/08/09 00:13:18,GET,1700000,2
2021/08/09 00:43:44,GET,1800000,2
2021/08/09 01:14:54,GET,1900000,1
