time,method,number of record,elapsed time
2021/08/08 17:21:13,POST,350000,15
2021/08/08 17:36:38,POST,400000,13
2021/08/08 17:51:55,POST,450000,15
2021/08/08 18:07:08,POST,500000,29
2021/08/08 18:22:24,POST,550000,16
2021/08/08 18:37:33,POST,600000,17
2021/08/08 18:52:47,POST,650000,15
2021/08/08 19:07:58,POST,700000,16
2021/08/08 19:23:10,POST,750000,16
2021/08/08 19:38:25,POST,800000,29
2021/08/08 19:53:42,POST,850000,14
2021/08/08 20:08:54,POST,900000,16
2021/08/08 20:24:09,POST,950000,16
2021/08/08 20:39:22,POST,1000000,19
2021/08/08 20:54:38,POST,1050000,15
2021/08/08 21:09:57,POST,1100000,15
2021/08/08 21:25:13,POST,1150000,14
2021/08/08 21:40:27,POST,1200000,16
2021/08/08 21:55:42,POST,1250000,16
2021/08/08 22:10:59,POST,1300000,15
2021/08/08 22:26:17,POST,1350000,15
2021/08/08 22:41:33,POST,1400000,16
2021/08/08 22:56:53,POST,1450000,15
2021/08/08 23:12:11,POST,1500000,15
2021/08/08 23:27:25,POST,1550000,17
2021/08/08 23:42:41,POST,1600000,21
2021/08/08 23:57:58,POST,1650000,17
2021/08/09 00:13:18,POST,1700000,16
2021/08/09 00:28:34,POST,1750000,15
2021/08/09 00:43:44,POST,1800000,18
2021/08/09 00:59:31,POST,1850000,15
2021/08/09 01:14:54,POST,1900000,16
2021/08/09 01:30:16,POST,1950000,19
