time,method,number of record,elapsed time
2021/08/08 17:36:38,POST,400000,13
2021/08/08 18:07:08,POST,500000,29
2021/08/08 18:37:33,POST,600000,17
2021/08/08 19:07:58,POST,700000,16
2021/08/08 19:38:25,POST,800000,29
2021/08/08 20:08:54,POST,900000,16
2021/08/08 20:39:22,POST,1000000,19
2021/08/08 21:09:57,POST,1100000,15
2021/08/08 21:40:27,POST,1200000,16
2021/08/08 22:10:59,POST,1300000,15
2021/08/08 22:41:33,POST,1400000,16
2021/08/08 23:12:11,POST,1500000,15
2021/08/08 23:42:41,POST,1600000,21
2021/08/09 00:13:18,POST,1700000,16
2021/08/09 00:43:44,POST,1800000,18
2021/08/09 01:14:54,POST,1900000,16
