time,method,number of record,elapsed time
2021/08/08 15:00:55,POST,62000,21
2021/08/08 15:00:55,POST,62010,17
2021/08/08 15:00:55,POST,62020,16
2021/08/08 15:00:56,POST,62030,18
2021/08/08 15:00:56,POST,62040,26
2021/08/08 15:00:56,POST,62050,15
2021/08/08 15:00:56,POST,62060,19
2021/08/08 15:00:57,POST,62070,21
2021/08/08 15:00:57,POST,62080,16
2021/08/08 15:00:57,POST,62090,18
2021/08/08 15:00:57,POST,62100,18
2021/08/08 15:00:57,POST,62110,18
2021/08/08 15:00:58,POST,62120,18
2021/08/08 15:00:58,POST,62130,18
2021/08/08 15:00:58,POST,62140,19
2021/08/08 15:00:58,POST,62150,24
2021/08/08 15:00:59,POST,62160,19
2021/08/08 15:00:59,POST,62170,22
2021/08/08 15:00:59,POST,62180,23
2021/08/08 15:00:59,POST,62190,19
2021/08/08 15:00:59,POST,62200,25
2021/08/08 15:01:00,POST,62210,17
2021/08/08 15:01:04,POST,62220,21
2021/08/08 15:01:04,POST,62230,20
2021/08/08 15:01:04,POST,62240,18
2021/08/08 15:01:04,POST,62250,19
2021/08/08 15:01:05,POST,62260,16
2021/08/08 15:01:05,POST,62270,19
2021/08/08 15:01:05,POST,62280,19
2021/08/08 15:01:05,POST,62290,18
2021/08/08 15:01:05,POST,62300,18
2021/08/08 15:01:06,POST,62310,21
2021/08/08 15:01:06,POST,62320,19
2021/08/08 15:01:06,POST,62330,20
2021/08/08 15:01:06,POST,62340,23
2021/08/08 15:01:06,POST,62350,19
2021/08/08 15:01:07,POST,62360,21
2021/08/08 15:01:07,POST,62370,18
2021/08/08 15:01:07,POST,62380,17
2021/08/08 15:01:07,POST,62390,19
2021/08/08 15:01:07,POST,62400,19
2021/08/08 15:01:08,POST,62410,26
2021/08/08 15:01:08,POST,62420,22
2021/08/08 15:01:08,POST,62430,23
2021/08/08 15:01:08,POST,62440,27
2021/08/08 15:01:09,POST,62450,23
2021/08/08 15:01:09,POST,62460,24
2021/08/08 15:01:09,POST,62470,23
2021/08/08 15:01:10,POST,62480,23
2021/08/08 15:01:10,POST,62490,25
2021/08/08 15:01:10,POST,62500,28
2021/08/08 15:01:10,POST,62510,20
2021/08/08 15:01:11,POST,62520,21
2021/08/08 15:01:11,POST,62530,29
2021/08/08 15:01:12,POST,62540,17
2021/08/08 15:01:12,POST,62550,17
2021/08/08 15:01:12,POST,62560,16
2021/08/08 15:01:12,POST,62570,19
2021/08/08 15:01:13,POST,62580,18
2021/08/08 15:01:13,POST,62590,24
2021/08/08 15:01:13,POST,62600,17
2021/08/08 15:01:13,POST,62610,17
2021/08/08 15:01:14,POST,62620,43
2021/08/08 15:01:17,POST,62630,19
2021/08/08 15:01:17,POST,62640,16
2021/08/08 15:01:17,POST,62650,18
2021/08/08 15:01:17,POST,62660,15
2021/08/08 15:01:18,POST,62670,16
2021/08/08 15:01:18,POST,62680,16
2021/08/08 15:01:18,POST,62690,17
2021/08/08 15:01:18,POST,62700,18
2021/08/08 15:01:18,POST,62710,15
2021/08/08 15:01:18,POST,62720,17
