time,method,number of record,elapsed time
2021/08/08 15:00:55,POST,62000,21
2021/08/08 15:00:57,POST,62100,18
2021/08/08 15:00:59,POST,62200,25
2021/08/08 15:01:05,POST,62300,18
2021/08/08 15:01:07,POST,62400,19
2021/08/08 15:01:10,POST,62500,28
2021/08/08 15:01:13,POST,62600,17
2021/08/08 15:01:18,POST,62700,18
2021/08/08 15:01:20,POST,62800,19
2021/08/08 15:01:22,POST,62900,16
2021/08/08 15:01:24,POST,63000,17
2021/08/08 15:01:26,POST,63100,19
2021/08/08 15:01:28,POST,63200,17
2021/08/08 15:01:30,POST,63300,18
2021/08/08 15:01:33,POST,63400,20
2021/08/08 15:01:35,POST,63500,16
2021/08/08 15:01:37,POST,63600,36
2021/08/08 15:01:40,POST,63700,16
2021/08/08 15:01:42,POST,63800,14
2021/08/08 15:01:44,POST,63900,18
2021/08/08 15:01:46,POST,64000,16
2021/08/08 15:01:49,POST,64100,17
2021/08/08 15:01:51,POST,64200,20
2021/08/08 15:01:53,POST,64300,19
2021/08/08 15:01:55,POST,64400,18
2021/08/08 15:01:57,POST,64500,18
2021/08/08 15:01:59,POST,64600,16
2021/08/08 15:02:01,POST,64700,16
2021/08/08 15:02:03,POST,64800,17
2021/08/08 15:02:05,POST,64900,16
2021/08/08 15:02:07,POST,65000,17
2021/08/08 15:02:09,POST,65100,18
2021/08/08 15:02:11,POST,65200,18
2021/08/08 15:02:13,POST,65300,18
2021/08/08 15:02:15,POST,65400,17
2021/08/08 15:02:17,POST,65500,16
2021/08/08 15:02:19,POST,65600,17
2021/08/08 15:02:21,POST,65700,16
2021/08/08 15:02:23,POST,65800,16
2021/08/08 15:02:25,POST,65900,20
2021/08/08 15:02:27,POST,66000,21
2021/08/08 15:02:30,POST,66100,21
2021/08/08 15:02:32,POST,66200,15
2021/08/08 15:02:34,POST,66300,16
2021/08/08 15:02:36,POST,66400,17
2021/08/08 15:02:38,POST,66500,16
2021/08/08 15:02:40,POST,66600,22
2021/08/08 15:02:46,POST,66700,54
2021/08/08 15:02:48,POST,66800,16
2021/08/08 15:02:50,POST,66900,17
2021/08/08 15:02:52,POST,67000,17
2021/08/08 15:02:54,POST,67100,19
2021/08/08 15:02:56,POST,67200,21
2021/08/08 15:02:58,POST,67300,16
2021/08/08 15:03:00,POST,67400,17
2021/08/08 15:03:02,POST,67500,21
2021/08/08 15:03:04,POST,67600,21
2021/08/08 15:03:07,POST,67700,17
2021/08/08 15:03:09,POST,67800,17
2021/08/08 15:03:11,POST,67900,18
2021/08/08 15:03:12,POST,68000,17
2021/08/08 15:03:15,POST,68100,26
2021/08/08 15:03:18,POST,68200,17
2021/08/08 15:03:19,POST,68300,16
2021/08/08 15:03:21,POST,68400,23
2021/08/08 15:03:24,POST,68500,17
2021/08/08 15:03:25,POST,68600,18
2021/08/08 15:03:27,POST,68700,16
2021/08/08 15:03:29,POST,68800,16
2021/08/08 15:03:31,POST,68900,37
2021/08/08 15:03:33,POST,69000,19
2021/08/08 15:03:35,POST,69100,16
2021/08/08 15:03:37,POST,69200,16
2021/08/08 15:03:39,POST,69300,19
2021/08/08 15:03:41,POST,69400,17
2021/08/08 15:03:43,POST,69500,16
2021/08/08 15:03:45,POST,69600,17
2021/08/08 15:03:47,POST,69700,16
2021/08/08 15:03:49,POST,69800,18
2021/08/08 15:03:51,POST,69900,21
2021/08/08 15:03:53,POST,70000,19
2021/08/08 15:03:55,POST,70100,20
2021/08/08 15:03:57,POST,70200,19
2021/08/08 15:03:59,POST,70300,15
2021/08/08 15:04:01,POST,70400,16
2021/08/08 15:04:03,POST,70500,17
2021/08/08 15:04:05,POST,70600,18
2021/08/08 15:04:07,POST,70700,23
2021/08/08 15:04:09,POST,70800,17
2021/08/08 15:04:10,POST,70900,16
2021/08/08 15:04:12,POST,71000,18
2021/08/08 15:04:14,POST,71100,18
2021/08/08 15:04:16,POST,71200,19
2021/08/08 15:04:18,POST,71300,19
2021/08/08 15:04:20,POST,71400,19
2021/08/08 15:04:22,POST,71500,18
2021/08/08 15:04:24,POST,71600,16
2021/08/08 15:04:26,POST,71700,18
2021/08/08 15:04:29,POST,71800,40
2021/08/08 15:04:32,POST,71900,17
2021/08/08 15:04:34,POST,72000,20
2021/08/08 15:04:36,POST,72100,16
2021/08/08 15:04:38,POST,72200,17
2021/08/08 15:04:40,POST,72300,17
2021/08/08 15:04:41,POST,72400,17
2021/08/08 15:04:43,POST,72500,16
2021/08/08 15:04:45,POST,72600,16
2021/08/08 15:04:47,POST,72700,18
2021/08/08 15:04:49,POST,72800,18
2021/08/08 15:04:51,POST,72900,20
2021/08/08 15:04:53,POST,73000,18
2021/08/08 15:04:55,POST,73100,19
2021/08/08 15:04:57,POST,73200,16
2021/08/08 15:04:59,POST,73300,19
2021/08/08 15:05:01,POST,73400,17
2021/08/08 15:05:03,POST,73500,15
2021/08/08 15:05:05,POST,73600,16
2021/08/08 15:05:07,POST,73700,15
2021/08/08 15:05:09,POST,73800,17
2021/08/08 15:05:12,POST,73900,23
2021/08/08 15:05:14,POST,74000,16
2021/08/08 15:05:16,POST,74100,18
2021/08/08 15:05:18,POST,74200,17
2021/08/08 15:05:20,POST,74300,18
2021/08/08 15:05:22,POST,74400,17
2021/08/08 15:05:24,POST,74500,15
2021/08/08 15:05:26,POST,74600,18
2021/08/08 15:05:27,POST,74700,17
2021/08/08 15:05:29,POST,74800,17
2021/08/08 15:05:31,POST,74900,17
2021/08/08 15:05:33,POST,75000,18
2021/08/08 15:05:35,POST,75100,16
2021/08/08 15:05:37,POST,75200,17
2021/08/08 15:05:39,POST,75300,19
2021/08/08 15:05:41,POST,75400,16
2021/08/08 15:05:43,POST,75500,22
2021/08/08 15:05:45,POST,75600,27
2021/08/08 15:05:47,POST,75700,17
2021/08/08 15:05:49,POST,75800,19
2021/08/08 15:05:52,POST,75900,23
2021/08/08 15:05:54,POST,76000,19
2021/08/08 15:06:12,POST,76100,22
2021/08/08 15:06:15,POST,76200,26
2021/08/08 15:06:18,POST,76300,24
2021/08/08 15:06:21,POST,76400,18
2021/08/08 15:06:23,POST,76500,15
2021/08/08 15:06:25,POST,76600,15
2021/08/08 15:06:29,POST,76700,17
2021/08/08 15:06:31,POST,76800,17
2021/08/08 15:06:33,POST,76900,17
2021/08/08 15:06:35,POST,77000,15
2021/08/08 15:06:37,POST,77100,18
2021/08/08 15:06:38,POST,77200,16
2021/08/08 15:06:40,POST,77300,17
2021/08/08 15:06:42,POST,77400,17
2021/08/08 15:06:44,POST,77500,19
2021/08/08 15:06:46,POST,77600,15
2021/08/08 15:06:48,POST,77700,18
2021/08/08 15:06:50,POST,77800,16
2021/08/08 15:06:52,POST,77900,18
2021/08/08 15:06:54,POST,78000,16
2021/08/08 15:06:56,POST,78100,18
2021/08/08 15:06:57,POST,78200,17
2021/08/08 15:06:59,POST,78300,22
2021/08/08 15:07:02,POST,78400,19
2021/08/08 15:07:03,POST,78500,15
2021/08/08 15:07:05,POST,78600,19
2021/08/08 15:07:07,POST,78700,17
2021/08/08 15:07:09,POST,78800,18
2021/08/08 15:07:14,POST,78900,20
2021/08/08 15:07:16,POST,79000,19
2021/08/08 15:07:18,POST,79100,16
2021/08/08 15:07:21,POST,79200,31
2021/08/08 15:07:24,POST,79300,17
2021/08/08 15:07:26,POST,79400,17
2021/08/08 15:07:28,POST,79500,17
2021/08/08 15:07:30,POST,79600,16
2021/08/08 15:07:32,POST,79700,17
2021/08/08 15:07:34,POST,79800,18
2021/08/08 15:07:36,POST,79900,16
2021/08/08 15:07:38,POST,80000,15
2021/08/08 15:07:40,POST,80100,15
2021/08/08 15:07:42,POST,80200,20
2021/08/08 15:07:44,POST,80300,16
2021/08/08 15:07:46,POST,80400,19
2021/08/08 15:07:48,POST,80500,17
2021/08/08 15:07:49,POST,80600,14
2021/08/08 15:07:52,POST,80700,36
2021/08/08 15:07:54,POST,80800,16
2021/08/08 15:07:56,POST,80900,18
2021/08/08 15:07:57,POST,81000,16
2021/08/08 15:08:00,POST,81100,15
2021/08/08 15:08:01,POST,81200,15
2021/08/08 15:08:04,POST,81300,19
2021/08/08 15:08:06,POST,81400,18
2021/08/08 15:08:08,POST,81500,15
2021/08/08 15:08:10,POST,81600,20
2021/08/08 15:08:12,POST,81700,15
2021/08/08 15:08:14,POST,81800,19
2021/08/08 15:08:16,POST,81900,18
2021/08/08 15:08:18,POST,82000,17
2021/08/08 15:08:20,POST,82100,16
2021/08/08 15:08:22,POST,82200,18
