time,method,number of record,elapsed time
2021/08/08 15:03:53,POST,70000,19
2021/08/08 15:07:38,POST,80000,15
2021/08/08 15:10:57,POST,90000,18
2021/08/08 15:14:24,POST,100000,34
2021/08/08 15:17:52,POST,110000,17
2021/08/08 15:21:14,POST,120000,18
2021/08/08 15:24:49,POST,130000,19
2021/08/08 15:28:22,POST,140000,15
2021/08/08 15:31:50,POST,150000,19
2021/08/08 15:35:10,POST,160000,17
2021/08/08 15:38:35,POST,170000,22
2021/08/08 15:42:11,POST,180000,15
2021/08/08 15:45:31,POST,190000,16
2021/08/08 15:48:56,POST,200000,21
2021/08/08 15:52:20,POST,210000,18
2021/08/08 15:55:53,POST,220000,23
2021/08/08 15:59:36,POST,230000,19
2021/08/08 16:03:09,POST,240000,17
2021/08/08 16:06:34,POST,250000,19
2021/08/08 16:10:12,POST,260000,15
2021/08/08 16:13:39,POST,270000,17
2021/08/08 16:16:52,POST,280000,17
