time,method,number of record,elapsed time
2021/08/08 15:03:53,GET,70000,3
2021/08/08 15:07:38,GET,80000,2
2021/08/08 15:10:57,GET,90000,4
2021/08/08 15:14:24,GET,100000,48
2021/08/08 15:17:52,GET,110000,3
2021/08/08 15:21:14,GET,120000,3
2021/08/08 15:24:49,GET,130000,4
2021/08/08 15:28:22,GET,140000,3
2021/08/08 15:31:50,GET,150000,4
2021/08/08 15:35:10,GET,160000,4
2021/08/08 15:38:35,GET,170000,4
2021/08/08 15:42:11,GET,180000,2
2021/08/08 15:45:31,GET,190000,3
2021/08/08 15:48:56,GET,200000,5
2021/08/08 15:52:20,GET,210000,3
2021/08/08 15:55:53,GET,220000,5
2021/08/08 15:59:36,GET,230000,3
2021/08/08 16:03:09,GET,240000,2
2021/08/08 16:06:34,GET,250000,4
2021/08/08 16:10:12,GET,260000,3
2021/08/08 16:13:39,GET,270000,2
2021/08/08 16:16:52,GET,280000,3
